GDD5,MTCO,Abies,Alnus,Betula,Picea,Pinus D,Quercus D,Gramineae
2012,-15.5,0,0,10,0,3,0,7
1988,-15.2,0,0,13,0,8,0,11
2349,-13.7,0,0,15,0,0,0,0
2096,-14.8,0,4,4,0,8,0,20
2810,-4.1,0,5,5,0,0,0,0
2126,-14.3,0,0,9,0,14,0,9
2497,-11.9,0,5,0,0,0,0,42
2625,-10.1,0,0,6,0,6,0,6
2619,-10.3,0,0,0,0,0,0,4
2848,-7,0,20,20,0,20,0,61
2422,-7.3,4,4,0,0,4,0,12
2714,-6.8,0,0,10,0,0,0,29
2441,-9.8,0,0,0,0,4,0,35
2348,-9.6,0,0,0,6,0,0,28
652,-18.7,384,0,27,18,223,0,36
626,-19.1,63,0,119,32,111,0,79
1683,-11.5,0,0,4,88,0,0,9
1796,-17.5,4,0,4,0,0,0,13
1817,-16.7,0,0,443,0,84,0,26
1436,-18.7,0,0,571,0,306,0,4
1326,-18.4,0,7,354,0,475,0,0
1323,-18.4,0,0,477,0,384,0,14
1435,-18.4,0,5,95,0,425,0,55
1435,-18.4,0,0,135,0,348,0,20
1432,-18.5,0,0,148,0,592,4,36
1591,-18.2,0,0,292,2,130,0,344
1587,-18.2,0,5,667,2,92,0,24
4422,11.2,0,0,0,0,103,0,248
4292,10.7,0,0,0,0,89,0,323
4025,9.6,0,0,0,0,128,0,213
4049,9.7,0,0,0,0,122,0,54
3679,8.2,0,0,0,0,72,0,403
3530,7.7,0,0,0,0,63,11,221
4147,9.8,0,0,0,0,94,0,188
4046,9.8,0,0,0,0,45,0,41
4052,9.8,0,0,0,0,205,0,71
4099,9.4,0,0,0,0,93,0,161
3391,6.8,0,0,0,0,201,0,110
2750,4.8,0,0,0,0,118,0,104
4090,9.1,0,0,0,0,72,0,168
4709,11.5,0,3,0,0,33,0,20
4700,11.5,0,4,0,0,53,4,26
4605,11.4,0,0,0,0,160,0,368
4560,11.3,0,0,0,0,30,8,110
4666,11.8,0,0,0,0,4,0,595
